,,(100 = CoL in NYC),Average Temperature (ºF),,,,,,,,,,,
Countries,Site count,Cost Of LIving,Jan,Feb,March,April,May,June,July,August,September,October,November,December
Albania,4,36.39,42.6,44.3,47.7,54.3,62.3,69.4,73.9,74.2,67.6,59.6,51.7,45.5
Armenia,3,32.84,0.7,23.9,32.5,44.3,53.5,60.7,67.2,67.1,59.5,48.5,36.0,26.4
Austria,11,70.38,27.2,29.6,36.5,43.6,52.8,58.2,61.8,61.1,54.2,45.4,35.2,29.3
Azerbaijan,3,29.92,33.8,35.3,42.7,54.4,62.9,71.1,77.2,75.6,68.7,57.3,47.5,38.4
Belarus,4,34.70,20.6,22.2,29.8,42.9,55.4,65.6,63.7,61.9,53.5,43.3,33.4,25.3
Belgium,12,71.78,35.2,36.0,41.4,46.5,53.8,58.9,62.3,62.2,57.4,50.3,42.2,37.8
Bosnia and Herzegovina,3,35.97,32.4,34.9,42.2,48.5,56.8,63.2,67.8,66.9,60.9,51.9,42.1,34.7
Bulgaria,10,36.70,30.7,32.7,39.0,47.9,56.7,63.5,67.4,67.0,60.9,52.0,42.1,34.5
Croatia,10,49.70,39.0,40.5,46.7,53.1,61.4,68.0,72.5,71.7,65.3,57.1,46.8,40.2
Cyprus,3,57.93,52.8,53.3,56.1,62.4,68.4,75.3,80.0,80.2,76.6,70.7,62.8,56.1
Czech Republic,14,46.15,27.4,29.4,35.9,43.5,52.8,58.5,61.7,61.3,54.8,45.9,35.8,30.7
Denmark,10,83.00,33.1,32.5,35.9,42.2,51.1,57.5,61.1,60.6,55.0,48.1,40.8,35.6
Estonia,2,50.93,24.4,23.3,29.4,38.8,49.9,58.0,62.0,60.4,51.4,43.2,34.1,27.8
Finland,7,70.29,16.4,16.3,23.0,33.4,45.2,55.1,60.2,56.9,47.6,37.9,28.8,20.7
France,45,74.14,39.4,40.6,45.6,50.2,56.8,62.7,66.8,66.5,61.5,54.0,45.7,40.7
Georgia,3,28.48,40.8,42.3,46.9,54.9,62.1,69.0,73.6,73.7,67.6,59.4,51.4,44.6
Germany,46,65.26,31.3,32.3,38.3,45.2,53.5,59.3,62.5,61.8,56.2,48.1,39.0,33.8
Greece,18,55.67,47.9,48.8,52.4,58.5,66.6,74.6,78.8,78.4,72.6,64.5,56.7,50.8
Hungary,8,40.85,30.2,32.7,41.8,50.8,59.6,65.8,69.0,68.3,61.3,51.4,40.3,33.4
